-0.8160, -0.4844, -0.2772, -1.2797, -0.3151,  0.1486, -0.8792, -0.7056, -0.0164, -1.2473,  0.0364,  1.0920,  0.5295, -0.0857, -0.0478, -0.5903, -0.8716,  0.3107, -0.7613,  0.6477, -1.1082, -1.3134, -0.8306,  0.2091,  0.2727,  0.6225,  0.9777, -1.3242,  0.5894,  0.2889,  1.1285 
-0.5682, -0.5500, -0.6599,  0.6122,  0.2587,  0.0581,  0.6368,  0.7078, -1.9413,  0.1834, -0.1487,  0.4971, -0.2137, -0.5693, -1.8328,  0.9752,  0.8212,  0.4138,  0.6892,  0.3788,  0.3296, -0.4281,  1.3125, -0.8872, -1.1006, -1.1861,  0.0543,  0.3386,  0.4764, -1.3272,  1.1485 
-0.8686,  0.4970, -0.3564, -0.6741, -1.2523, -0.3404,  0.6601, -0.8826,  0.5323, -0.7311, -0.0201, -0.0821, -1.4312,  0.0848,  0.1024,  1.1447, -0.0150,  0.3512,  1.0721, -0.8252, -0.8687,  0.2951, -0.7766,  0.6986, -1.1521, -1.4482,  0.4070,  0.8244, -0.4855,  0.1597,  1.0615 
-0.9332, -1.4064, -0.4123,  1.1504,  0.5496, -0.3031,  0.6636, -1.0582, -1.2296,  0.0682, -0.1203, -0.1527, -0.8387, -0.5870,  0.2334, -0.6690, -0.0832, -0.1442,  0.8975, -2.4564,  0.1071,  0.3560,  0.0136, -0.0212,  0.7448,  0.2586,  1.1731, -0.0671,  0.4126,  0.1929,  1.1165 
-0.7330,  0.2076, -0.5521,  0.6208, -0.5403,  0.6398, -0.9245,  0.8046, -0.4773,  0.0461, -0.9188, -1.1233,  0.5287,  0.0946, -0.5718,  0.8358, -0.3007, -2.0423, -0.9282, -0.2939,  0.1913,  0.1131,  0.9557,  0.7139,  0.6238, -0.2347, -0.9731, -0.2426, -1.0498,  0.9668,  1.1245 
-0.6572, -0.8926,  0.4471, -1.1914,  0.7809, -0.2770, -0.2048, -0.4556, -0.3330,  1.1406, -0.4732, -0.7888,  0.4485, -0.4741, -0.5296, -0.5538,  1.7470, -0.5486, -1.2416, -0.4924,  0.6212, -1.5569,  0.4088,  0.0571,  0.0004,  0.3436,  0.5637,  0.0458,  0.6101,  0.2099,  1.0695 
-0.8233, -0.0566, -0.0640, -0.2223, -0.5675,  0.0689,  0.6728,  0.6137,  0.0724, -0.0440, -0.0870, -0.0431,  0.7284, -2.0702, -0.1290,  1.0337,  0.2762,  0.0336, -1.1403, -0.0236,  1.0385,  0.3368, -0.3125,  0.7333, -1.9926, -0.3192, -0.7542, -1.8548,  0.0698,  0.3132,  0.9895 
-0.6316,  0.0713, -0.1289,  0.2395,  0.5072, -2.0687, -0.6003,  0.6335,  0.0346, -0.6164, -2.1048,  1.8958, -0.8752, -0.1977, -0.1277,  0.1117, -0.3681, -0.1010,  0.9885,  0.1924, -0.1980, -0.5709,  0.5479,  0.0105,  0.5809,  0.1858,  0.4036,  0.0413, -0.9461, -0.7323,  1.1285 
-1.2886,  0.1323, -1.2427, -0.5191,  0.5171, -0.3558,  0.6441, -0.3030,  0.7409,  0.8254, -0.1225, -1.3087,  0.2094, -0.3475, -0.5800,  0.0536,  1.0830, -0.1437,  0.5361,  0.1573, -1.1667, -0.1548, -1.2080, -1.7411,  0.7776,  0.6038, -1.0856,  0.4010,  0.1815,  0.2652,  1.1135 
-0.8483,  0.2008, -0.1703,  0.2402, -0.4990, -0.8744, -0.4370,  0.7514, -0.1860,  0.6822,  0.9898, -0.4667,  0.3144, -0.1285, -0.1871, -1.2998, -0.7093, -0.6345, -0.1741, -0.0213,  0.3582,  0.0723,  0.6076, -0.7053,  0.6080,  0.3210, -1.0448,  0.3012, -0.9878, -1.6227,  1.1395 
